,root,majmin,majminbass,sevenths,seventhsbass,triads,triadsbass,tetrads,tetradsbass,segmentation,undersegmentation,oversegmentation
341,0.8706082251082259,0.790348996429107,0.7743931205627528,0.3783386103985153,0.3623148212346027,0.4460151515151522,0.4370108225108231,0.21260173160173187,0.20359740259740283,0.7707965367965373,0.7707965367965373,0.8790108225108229
342,0.9424984709480122,0.9407195571339323,0.9163478917423655,0.7472529675300594,0.729262368745469,0.8610978593272173,0.8387889908256884,0.6840061162079512,0.6675382262996944,0.9145015290519878,0.9145015290519878,0.9691467889908257
343,0.5085731343283577,0.5503913783690355,0.5209968114696634,0.41479903321099226,0.38221824366663654,0.5085731343283577,0.4814119402985072,0.34579999999999955,0.318638805970149,0.46227462686567167,0.46227462686567167,0.8684656716417909
344,0.7115767790262163,0.792080629243053,0.7898675120375621,0.5500553279301367,0.5478422107246457,0.495970037453183,0.49458426966292085,0.3444232209737825,0.3430374531835203,0.7145580524344564,0.7145580524344564,0.9040636704119842
345,0.7745545171339561,0.7589688473520246,0.6244423676012457,0.6765569643856046,0.6765569643856046,0.7589688473520246,0.6244423676012457,0.7275015576323984,0.6066822429906539,0.9318629283489095,0.9318629283489095,0.980828660436137
346,0.8066110265374347,0.7979519632478763,0.7566443646229978,0.7566289484637795,0.7153213498389009,0.791927081341177,0.7509313729240137,0.7509160731634548,0.7099203647462915,0.7823111818300044,0.7823111818300044,0.868563581979942
347,0.9251968750000005,0.9251968750000005,0.9251968750000005,0.8907812500000005,0.8907812500000005,0.9251968750000005,0.9251968750000005,0.8907812500000005,0.8907812500000005,0.9582125000000006,0.9646625000000005,0.9582125000000006
348,0.8839659090909091,0.8650397430545497,0.8538154184308947,0.831490300650031,0.8202659760263761,0.7692234848484848,0.7592424242424243,0.7393901515151514,0.7294090909090909,0.8827499999999999,0.8827499999999999,0.9606022727272727
349,0.7756337448559668,0.6388724279835388,0.6388724279835388,0.6388724279835388,0.6388724279835388,0.6388724279835388,0.6388724279835388,0.6388724279835388,0.6388724279835388,0.7252304526748969,0.8204567901234565,0.7252304526748969
350,0.6139160839160839,0.6097027972027972,0.5858706293706294,0.39379370629370636,0.3797587412587413,0.6097027972027972,0.5858706293706294,0.39379370629370636,0.3797587412587413,0.6874930069930072,0.7012657342657342,0.6874930069930072
