,root,majmin,majminbass,sevenths,seventhsbass,triads,triadsbass,tetrads,tetradsbass,segmentation,undersegmentation,oversegmentation
count,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0
mean,0.7959477114363143,0.777462887835265,0.7562898082378505,0.6751606116210943,0.656631373312129,0.7353104948742815,0.7157352449473543,0.6291512592332056,0.612016148425468,0.7952012749581787,0.7995331999957508,0.9138605614466484
std,0.17086114482118933,0.18048794823263634,0.18664718946076483,0.19425475745900855,0.1977482952699223,0.21172260275903845,0.21539163129550445,0.21392697273668385,0.216616699828122,0.13740971485820774,0.1384055719939497,0.0742105863459373
min,0.0017370892018779341,0.0017370892018779341,0.0017370892018779341,0.0017370892018779341,0.0017370892018779341,0.0017370892018779341,0.0017370892018779341,0.0017370892018779341,0.0017370892018779341,0.20083262662863333,0.20083262662863333,0.49938704438863524
25%,0.742355847645991,0.7215423231850249,0.685981952982228,0.5590284574010167,0.5324188599308901,0.6637020703723691,0.6399847194273813,0.5022934601551556,0.477559326450928,0.712737264589877,0.7156505009300481,0.8973819494101194
50%,0.8484049079754606,0.8274104402996263,0.8046893058500758,0.705088847482503,0.6824919761725866,0.789757844130911,0.7727752715013226,0.672420495150086,0.6428662555631013,0.835504424778761,0.8392982874485262,0.9401745884730691
75%,0.9158130806902798,0.9035373046200138,0.8967340613106956,0.8334140572527231,0.8180716778640011,0.8870655633564146,0.87536194210859,0.7984134041753597,0.7845020933377249,0.8959921310305354,0.8987273963755655,0.9613539316726741
max,0.982103278409155,0.9895096056622852,0.9895096056622852,0.9895096056622852,0.9895096056622852,0.982103278409155,0.982103278409155,0.982103278409155,0.982103278409155,0.9821032784091551,0.988910793040662,0.9965232382015307
