,fmeasure,pscore,cemgil,goto,cmlc,cmlt,amlc,amlt,information_gain,global_information_gain
count,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0
mean,0.8711942592533461,0.8962531666209647,0.7577031352253265,0.8156424581005587,0.7434296075750346,0.8495978613306323,0.7942857841852842,0.9098066740935706,3.153617010799739,1.6174112196974608
std,0.2618036169014394,0.21282716570210886,0.26303895065308236,0.3888632317649007,0.354489870200519,0.30341082685434,0.30284781322606014,0.20144291087620028,0.5995246785637072,0.0
min,0.0,0.0,0.0026869211233314363,0.0,0.0,0.0,0.001841620626151013,0.0028089887640449437,0.4853012486107575,1.6174112196974608
25%,0.9233804530986707,0.9443953804347827,0.651756887045843,1.0,0.48888477377141704,0.9323192239858906,0.6153125124646006,0.9372814685314685,2.8681398904073108,1.6174112196974608
50%,0.9857549857549858,0.9839357429718876,0.8725052945905124,1.0,0.9719101123595506,0.9790940766550522,0.9789915966386554,0.9833333333333333,3.307041954876903,1.6174112196974608
75%,0.9958505509641873,0.9944865766722282,0.944137849528158,1.0,0.9936078747715275,0.9939833593813521,0.9947506200055112,0.9948821989528795,3.540965419523097,1.6174112196974608
max,1.0,1.0,0.9788484411888948,1.0,1.0,1.0,1.0,1.0,4.150930087874395,1.6174112196974608
